TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.apache.commons.codec.digest.MessageDigestAlgorithms,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,96,92
org.apache.commons.codec.digest.MurmurHash2,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9693287037037037,735,730
org.apache.commons.codec.digest.MurmurHash3,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9193976861554851,1126,1032
org.apache.commons.codec.digest.PureJavaCrc32,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9580284552845528,497,496
org.apache.commons.codec.digest.PureJavaCrc32C,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9568273092369478,425,421
org.apache.commons.codec.digest.Sha2Crypt,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8260422955198216,408,349
org.apache.commons.codec.digest.UnixCrypt,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9138104838709677,979,954
org.apache.commons.codec.digest.XXHash32,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9153577661431065,906,896
org.apache.commons.codec.language.Caverphone,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9375,46,41
org.apache.commons.codec.language.Caverphone1,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9064625850340136,128,122
org.apache.commons.codec.language.Caverphone2,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9109848484848485,122,118
org.apache.commons.codec.language.ColognePhonetic,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7679125138427463,730,619
org.apache.commons.codec.language.DaitchMokotoffSoundex,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6503966037891951,742,463
org.apache.commons.codec.language.DoubleMetaphone,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8515575513485801,2159,1560
org.apache.commons.codec.language.MatchRatingApproachEncoder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9378029175325021,859,817
org.apache.commons.codec.language.Metaphone,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.932776824852147,763,703
org.apache.commons.codec.language.Nysiis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9811700426439233,530,523
org.apache.commons.codec.language.Soundex,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9724044850498338,394,386
