TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.joda.time.chrono.CopticChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8427330088724266,384,256
org.joda.time.chrono.GJChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15560979589192758,1860,75
org.joda.time.chrono.GregorianChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8707416578182386,492,382
org.joda.time.chrono.IslamicChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8745729319627998,1159,993
org.joda.time.chrono.ISOChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8513416477702191,178,136
org.joda.time.chrono.JulianChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8788499750633327,465,356
org.joda.time.chrono.LenientChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1675,151,8
org.joda.time.chrono.LimitChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.13166690193396813,902,8
org.joda.time.chrono.StrictChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1675,151,8
org.joda.time.chrono.ZonedChronology,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2605801278312748,1362,163
org.joda.time.convert.ConverterManager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9382555780933063,453,414
org.joda.time.field.DecoratedDurationField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.995,114,113
org.joda.time.field.DelegatedDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9581896551724137,559,510
org.joda.time.field.DelegatedDurationField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9892241379310345,265,260
org.joda.time.field.DividedDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9837823275862069,393,389
org.joda.time.field.FieldUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9732174315267348,910,873
org.joda.time.field.LenientDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428571,66,65
org.joda.time.field.MillisDurationField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.940530899859944,245,226
org.joda.time.field.OffsetDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9948979591836735,275,274
org.joda.time.field.PreciseDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9485294117647058,184,178
org.joda.time.field.PreciseDurationField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.995,187,186
org.joda.time.field.RemainderDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8987936170971886,331,266
org.joda.time.field.ScaledDurationField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9971590909090909,348,347
org.joda.time.field.SkipDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9731096563011457,124,121
org.joda.time.field.SkipUndoDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9577020202020202,104,102
org.joda.time.field.StrictDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9821428571428571,62,61
org.joda.time.field.UnsupportedDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7913209625066243,514,344
org.joda.time.field.ZeroIsMaxDateTimeField,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9541430003341129,308,282
org.joda.time.format.DateTimeFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7937298488529423,1992,1284
org.joda.time.format.DateTimeFormatterBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6623268969220437,3415,1891
org.joda.time.format.DateTimeParserBucket,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2609995378882131,778,100
org.joda.time.format.FormatUtils,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.836074108912894,1438,1169
org.joda.time.format.ISODateTimeFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5949762005820114,2533,915
org.joda.time.format.ISOPeriodFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.925,219,204
org.joda.time.format.PeriodFormat,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7268310512052488,325,97
org.joda.time.format.PeriodFormatter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9751633986928104,258,250
org.joda.time.format.PeriodFormatterBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7054105690205605,3088,1901
org.joda.time.tz.CachedDateTimeZone,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7795134034764981,345,257
org.joda.time.tz.DateTimeZoneBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2934813631220545,2509,427
org.joda.time.tz.DefaultNameProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.890261484011484,326,289
org.joda.time.tz.FixedDateTimeZone,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9758064516129032,222,214
org.joda.time.tz.UTCProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.859375,32,24
org.joda.time.tz.ZoneInfoCompiler,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.471732567101949,2057,687
org.joda.time.tz.ZoneInfoLogger,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.95,28,22
org.joda.time.tz.ZoneInfoProvider,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8162244897959183,279,241
